order_id,product_id,quantity,discount,sales_amount,cost_amount,profit_amount
ORD045450,PRD00406,2,0.0,26978.425000000003,18873.01,8105.42
ORD056711,PRD00273,2,0.2,931.86,792.08,139.78
ORD039743,PRD00185,2,0.0,18992.34,12914.79,6077.55
ORD004266,PRD00012,1,0.05,79411.81,56842.14,22569.67
ORD055893,PRD00455,1,0.15,1127.62,902.09,225.53
ORD002531,PRD00088,1,0.0,3688.14,2507.94,1180.2
ORD034180,PRD00119,1,0.0,2448.6,1665.05,783.55
ORD036226,PRD00495,2,0.1,667.22,504.12,163.1
ORD032846,PRD00394,1,0.05,3981.1,2849.63,1131.47
ORD030245,PRD00476,1,0.1,1697.76,1282.75,415.01
ORD059801,PRD00134,1,0.0,3606.9,2452.69,1154.21
ORD025832,PRD00031,1,0.15,52900.88,42320.7,10580.18
ORD027048,PRD00066,3,0.1,145251.22,141943.38,3307.84
ORD036141,PRD00412,1,0.2,4924.81,4186.09,738.72
ORD011477,PRD00426,1,0.0,92.81,63.11,29.7
ORD055834,PRD00310,1,0.15,584.2,467.36,116.84
ORD040968,PRD00376,1,0.0,13515.18,9190.32,4324.86
ORD006921,PRD00212,1,0.0,22846.42,15535.57,7310.85
ORD018798,PRD00373,2,0.05,14337.68,10262.76,4074.92
ORD031476,PRD00195,1,0.0,11499.74,7819.82,3679.92
ORD049783,PRD00420,1,0.2,112.92,95.98,16.94
ORD026007,PRD00334,1,0.0,10003.19,6802.17,3201.02
ORD049818,PRD00170,1,0.0,13738.26,9342.02,4396.24
ORD048132,PRD00187,4,0.0,2001.76,1361.2,640.56
ORD052691,PRD00125,2,0.1,7612.09,5751.36,1860.73
ORD015745,PRD00232,1,0.0,5385.65,3662.24,1723.41
ORD007830,PRD00127,1,0.0,1426.24,969.84,456.4
ORD001867,PRD00071,1,0.0,59038.46,40146.15,18892.31
ORD034348,PRD00379,1,0.0,6154.47,4185.04,1969.43
ORD026080,PRD00051,2,0.15,1772.61,1418.09,354.52
ORD021318,PRD00425,1,0.0,1802.82,1225.92,576.9
ORD020037,PRD00405,1,0.05,1841.94,1318.44,523.5
ORD032811,PRD00184,1,0.05,16234.99,11620.83,4614.16
ORD011437,PRD00232,1,0.0,5385.65,3662.24,1723.41
ORD049178,PRD00201,2,0.05,8040.91,5755.6,2285.31
ORD024578,PRD00414,1,0.0,11106.9,7552.69,3554.21
ORD038578,PRD00016,1,0.0,20394.31,13868.13,6526.18
ORD052910,PRD00452,1,0.05,1165.57,834.31,331.26
ORD024881,PRD00226,1,0.0,2455.94,1670.04,785.9
ORD033959,PRD00246,1,0.2,1836.09,1560.67,275.42
ORD004022,PRD00194,4,0.15,43446.810000000005,65214.12,-21767.31
ORD051442,PRD00104,1,0.1,3108.65,2348.75,759.9
ORD024831,PRD00400,1,0.0,12760.4,8677.07,4083.33
ORD037603,PRD00464,3,0.0,193.95,131.89,62.06
ORD010884,PRD00192,2,0.1,43446.810000000005,33859.39,9587.42
ORD026431,PRD00378,1,0.2,2202.75,1872.34,330.41
ORD055580,PRD00176,1,0.0,21605.7,14691.88,6913.82
ORD046533,PRD00285,1,0.0,900.25,612.17,288.08
ORD037681,PRD00179,1,0.0,19473.02,13241.65,6231.37
ORD051553,PRD00446,1,0.1,1829.81,1382.52,447.29
ORD054881,PRD00125,3,0.1,8566.689999999999,8627.04,-60.35
ORD034947,PRD00219,2,0.0,26199.14,17815.42,8383.72
ORD032905,PRD00373,1,0.15,6414.23,5131.38,1282.85
ORD009463,PRD00241,1,0.05,5050.47,3615.07,1435.4
ORD018989,PRD00089,1,0.2,591.5,502.77,88.73
ORD006936,PRD00178,1,0.1,7996.28,6041.64,1954.64
ORD011672,PRD00468,1,0.05,1818.57,1301.71,516.86
ORD013981,PRD00151,2,0.15,1452.63,1162.11,290.52
ORD019662,PRD00410,1,0.3,2495.4,2424.1,71.3
ORD051284,PRD00142,1,0.0,3290.73,2237.7,1053.03
ORD053418,PRD00458,1,0.05,1630.23,1166.9,463.33
ORD058045,PRD00009,1,0.15,44535.97,35628.78,8907.19
ORD037612,PRD00225,2,0.05,28176.14,20168.19,8007.95
ORD028119,PRD00320,1,0.0,1122.55,763.33,359.22
ORD024158,PRD00249,2,0.0,23340.64,15871.64,7469.0
ORD017355,PRD00227,1,0.15,11004.48,8803.59,2200.89
ORD042015,PRD00252,1,0.15,47.57,38.05,9.52
ORD053884,PRD00324,1,0.0,717.71,488.04,229.67
ORD035621,PRD00101,1,0.0,1788.85,1216.42,572.43
ORD037646,PRD00005,1,0.0,2728.12,1855.12,873.0
ORD003027,PRD00336,1,0.0,1416.53,963.24,453.29
ORD009646,PRD00125,2,0.15,7189.2,5751.36,1437.84
ORD029181,PRD00339,1,0.05,3035.75,2172.96,862.79
ORD030971,PRD00250,2,0.2,310.93,264.29,46.64
ORD007570,PRD00425,1,0.0,1802.82,1225.92,576.9
ORD016225,PRD00108,1,0.0,2272.39,1545.23,727.16
ORD055549,PRD00325,1,0.0,898.21,610.78,287.43
ORD011114,PRD00157,1,0.0,4674.49,3178.65,1495.84
ORD018873,PRD00416,1,0.0,1181.22,803.23,377.99
ORD042853,PRD00112,5,0.3,8566.689999999999,15187.77,-6621.08
ORD041167,PRD00175,1,0.0,2303.06,1566.08,736.98
ORD057583,PRD00271,1,0.0,599.08,407.37,191.71
ORD042758,PRD00239,1,0.15,6042.07,4833.66,1208.41
ORD038622,PRD00336,1,0.2,1133.22,963.24,169.98
ORD043045,PRD00256,1,0.0,161.32,109.7,51.62
ORD038853,PRD00118,2,0.0,7837.48,5329.49,2507.99
ORD054100,PRD00397,1,0.1,7101.76,5365.77,1735.99
ORD027992,PRD00221,1,0.0,10205.78,6939.93,3265.85
ORD019215,PRD00490,1,0.3,1523.74,1480.2,43.54
ORD009024,PRD00204,2,0.1,39493.94,29839.87,9654.07
ORD027646,PRD00431,1,0.2,1811.22,1539.54,271.68
ORD044811,PRD00112,2,0.2,7147.18,6075.11,1072.07
ORD013356,PRD00269,1,0.0,1078.0,733.04,344.96
ORD033856,PRD00339,1,0.15,2716.2,2172.96,543.24
ORD044650,PRD00045,1,0.0,25338.41,17230.12,8108.29
ORD027511,PRD00418,1,0.1,2101.3,1587.65,513.65
ORD035565,PRD00318,2,0.0,400.0,272.0,128.0
ORD049279,PRD00238,3,0.15,14664.23,11731.39,2932.84
ORD054780,PRD00349,1,0.0,3919.5,2665.26,1254.24
ORD004949,PRD00437,1,0.0,1592.59,1082.96,509.63
ORD021395,PRD00327,1,0.15,432.75,346.2,86.55
ORD014683,PRD00341,1,0.0,1124.84,764.89,359.95
ORD046394,PRD00135,1,0.05,3693.2,2643.55,1049.65
ORD034444,PRD00038,1,0.05,58543.75,41905.0,16638.75
ORD030943,PRD00279,2,0.1,820.24,619.74,200.5
ORD019106,PRD00264,3,0.0,420.3,285.8,134.5
ORD033850,PRD00079,1,0.1,68721.44,51922.87,16798.57
ORD054486,PRD00487,1,0.0,1023.5,695.98,327.52
ORD055343,PRD00226,2,0.0,4911.88,3340.08,1571.8
ORD059542,PRD00105,1,0.15,2325.32,1860.26,465.06
ORD027790,PRD00210,1,0.0,538.08,365.89,172.19
ORD034730,PRD00240,1,0.05,13117.31,9389.23,3728.08
ORD059098,PRD00033,1,0.0,73500.55,49980.37,23520.18
ORD024535,PRD00070,2,0.0,60574.58,41190.71,19383.87
ORD011659,PRD00103,1,0.1,2680.97,2025.62,655.35
ORD031772,PRD00292,1,0.1,399.08,301.53,97.55
ORD010927,PRD00414,1,0.0,11106.9,7552.69,3554.21
ORD007723,PRD00452,1,0.0,1226.92,834.31,392.61
ORD034763,PRD00314,1,0.15,931.59,745.27,186.32
ORD000849,PRD00082,1,0.05,47288.4,33848.54,13439.86
ORD018251,PRD00016,1,0.0,20394.31,13868.13,6526.18
ORD000278,PRD00464,2,0.0,129.3,87.92,41.38
ORD034578,PRD00426,1,0.05,88.17,63.11,25.06
ORD009321,PRD00448,2,0.05,1828.67,1308.95,519.72
ORD001181,PRD00084,1,0.0,1734.52,1179.47,555.05
ORD048552,PRD00156,2,0.0,2948.66,2005.09,943.57
ORD052616,PRD00337,2,0.0,9196.6,6253.69,2942.91
ORD011062,PRD00330,1,0.0,553.88,376.64,177.24
ORD037142,PRD00105,1,0.0,2735.67,1860.26,875.41
ORD020914,PRD00046,1,0.1,48100.82,36342.84,11757.98
ORD055465,PRD00261,1,0.0,418.19,284.37,133.82
ORD021999,PRD00405,2,0.0,3877.76,2636.88,1240.88
ORD012267,PRD00088,1,0.05,3503.73,2507.94,995.79
ORD016132,PRD00469,1,0.0,2108.14,1433.54,674.6
ORD054245,PRD00371,1,0.0,10414.34,7081.75,3332.59
ORD031444,PRD00239,1,0.0,7108.32,4833.66,2274.66
ORD002593,PRD00073,1,0.0,10530.89,7161.01,3369.88
ORD012545,PRD00337,1,0.1,4138.47,3126.84,1011.63
ORD007539,PRD00495,1,0.05,352.15,252.06,100.09
ORD035595,PRD00010,1,0.1,74515.9,56300.9,18215.0
ORD032042,PRD00250,1,0.15,165.18,132.14,33.04
ORD024590,PRD00050,1,0.0,10243.47,6965.56,3277.91
ORD044946,PRD00094,1,0.15,1173.94,939.15,234.79
ORD028095,PRD00303,1,0.15,763.18,610.54,152.64
ORD046454,PRD00437,2,0.0,3185.18,2165.92,1019.26
ORD012725,PRD00450,1,0.0,588.67,400.3,188.37
ORD030822,PRD00134,1,0.0,3606.9,2452.69,1154.21
ORD028852,PRD00089,5,0.1,3327.16,2513.86,813.3
ORD041898,PRD00253,2,0.0,1296.98,881.95,415.03
ORD034771,PRD00429,1,0.15,581.2,464.96,116.24
ORD035251,PRD00240,1,0.1,12426.92,9389.23,3037.69
ORD029604,PRD00324,2,0.15,1220.11,976.09,244.02
ORD012838,PRD00177,3,0.0,43446.810000000005,48331.09,-4884.28
ORD003936,PRD00380,1,0.0,846.49,575.61,270.88
ORD008915,PRD00316,3,0.0,1893.83,1468.19,425.64
ORD032201,PRD00038,1,0.0,61625.0,41905.0,19720.0
ORD033956,PRD00231,3,0.1,43446.810000000005,49989.77,-6542.96
ORD007307,PRD00248,1,0.0,6054.93,4117.35,1937.58
ORD006020,PRD00209,1,0.0,11823.06,8039.68,3783.38
ORD015216,PRD00097,2,0.0,8566.689999999999,6255.7,2310.99
ORD047937,PRD00163,2,0.0,3600.18,2448.12,1152.06
ORD047657,PRD00453,2,0.0,2898.6,1971.05,927.55
ORD029763,PRD00113,4,0.05,2815.08,2015.0,800.08
ORD057639,PRD00033,2,0.1,132300.99,99960.75,32340.24
ORD022088,PRD00323,2,0.0,823.86,560.22,263.64
ORD029263,PRD00375,2,0.2,2770.88,2355.25,415.63
ORD049203,PRD00179,1,0.0,19473.02,13241.65,6231.37
ORD047945,PRD00031,1,0.0,62236.33,42320.7,19915.63
ORD045154,PRD00469,2,0.05,4005.47,2867.07,1138.4
ORD037213,PRD00198,1,0.1,8222.33,6212.43,2009.9
ORD040727,PRD00301,1,0.0,649.48,441.65,207.83
ORD028783,PRD00243,1,0.0,20025.18,13617.12,6408.06
ORD015558,PRD00212,1,0.2,18277.14,15535.57,2741.57
ORD000850,PRD00282,2,0.0,1648.34,1120.87,527.47
ORD039379,PRD00067,5,0.0,139724.25,95012.49,44711.76
ORD043983,PRD00182,1,0.0,14372.1,9773.03,4599.07
ORD029577,PRD00439,1,0.0,686.83,467.04,219.79
ORD040180,PRD00061,2,0.05,103141.78,73827.8,29313.98
ORD049259,PRD00435,5,0.0,4261.84,3367.39,894.45
ORD035958,PRD00302,1,0.1,1077.55,814.15,263.4
ORD016854,PRD00087,1,0.0,3808.26,2589.62,1218.64
ORD006852,PRD00185,1,0.0,9496.17,6457.4,3038.77
ORD046900,PRD00352,1,0.0,3686.25,2506.65,1179.6
ORD012994,PRD00366,1,0.0,13434.0,9135.12,4298.88
ORD042047,PRD00422,1,0.0,273.76,186.16,87.6
ORD024596,PRD00344,2,0.0,3356.76,2282.6,1074.16
ORD037800,PRD00146,2,0.05,2414.18,1728.04,686.14
ORD006176,PRD00224,1,0.2,12406.21,10545.28,1860.93
ORD008021,PRD00290,1,0.0,213.11,144.91,68.2
ORD016063,PRD00274,1,0.0,240.71,163.68,77.03
ORD009368,PRD00022,2,0.15,58126.42,46501.13,11625.29
ORD029939,PRD00302,5,0.0,1893.83,4070.75,-2176.92
ORD034243,PRD00181,2,0.3,17383.24,16886.58,496.66
ORD033009,PRD00164,2,0.0,5134.66,3491.57,1643.09
ORD013442,PRD00064,2,0.15,35633.34,28506.67,7126.67
ORD043919,PRD00075,1,0.0,83502.12,56781.44,26720.68
ORD056969,PRD00405,2,0.15,3296.1,2636.88,659.22
ORD041309,PRD00402,1,0.0,14169.23,9635.08,4534.15
ORD023375,PRD00249,1,0.0,11670.32,7935.82,3734.5
ORD010802,PRD00052,1,0.0,1582.99,1076.43,506.56
ORD052285,PRD00403,2,0.1,15993.56,12084.02,3909.54
ORD042985,PRD00216,1,0.15,18682.79,14946.23,3736.56
ORD022981,PRD00278,1,0.05,558.36,399.67,158.69
ORD050237,PRD00075,1,0.0,83502.12,56781.44,26720.68
ORD051423,PRD00129,1,0.3,1909.59,1855.03,54.56
ORD054957,PRD00473,1,0.15,1517.85,1214.28,303.57
ORD059388,PRD00325,1,0.0,898.21,610.78,287.43
ORD041971,PRD00153,2,0.0,8152.32,5543.58,2608.74
ORD036402,PRD00490,4,0.15,4261.84,5920.81,-1658.97
ORD017456,PRD00469,1,0.0,2108.14,1433.54,674.6
ORD050813,PRD00101,1,0.0,1788.85,1216.42,572.43
ORD013379,PRD00192,1,0.1,22406.95,16929.69,5477.26
ORD017040,PRD00456,2,0.0,4261.84,2901.94,1359.9
ORD011125,PRD00442,1,0.0,1365.12,928.28,436.84
ORD022787,PRD00355,1,0.15,1907.58,1526.06,381.52
ORD031820,PRD00082,2,0.0,99554.52,67697.07,31857.45
ORD057586,PRD00222,1,0.0,10628.71,7227.52,3401.19
ORD031798,PRD00170,1,0.0,13738.26,9342.02,4396.24
ORD026765,PRD00253,2,0.05,1232.13,881.95,350.18
ORD009807,PRD00342,3,0.05,22757.54,16289.6,6467.94
ORD019600,PRD00324,1,0.0,717.71,488.04,229.67
ORD012968,PRD00360,2,0.0,10450.66,7106.45,3344.21
ORD006007,PRD00171,1,0.0,3745.34,2546.83,1198.51
ORD059446,PRD00255,1,0.1,910.84,688.19,222.65
ORD052489,PRD00217,2,0.0,18163.58,12351.23,5812.35
ORD054727,PRD00028,1,0.15,12649.35,10119.48,2529.87
ORD012427,PRD00072,1,0.0,71367.49,48529.89,22837.6
ORD058197,PRD00241,3,0.15,13556.51,10845.21,2711.3
ORD046259,PRD00470,1,0.0,2333.4,1586.71,746.69
ORD001176,PRD00498,1,0.0,1537.51,1045.51,492.0
ORD048687,PRD00456,1,0.0,2133.78,1450.97,682.81
ORD008351,PRD00278,2,0.0,1175.5,799.34,376.16
ORD045493,PRD00388,2,0.0,1825.44,1241.3,584.14
ORD030109,PRD00331,1,0.15,596.37,477.09,119.28
ORD058558,PRD00004,1,0.0,29030.86,19740.98,9289.88
ORD045728,PRD00178,1,0.15,7552.05,6041.64,1510.41
ORD048283,PRD00139,2,0.1,8436.74,6374.43,2062.31
ORD015254,PRD00427,2,0.05,602.89,431.54,171.35
ORD042333,PRD00189,2,0.0,43446.810000000005,33762.71,9684.1
ORD038529,PRD00044,1,0.0,18056.35,12278.32,5778.03
ORD025872,PRD00124,1,0.0,1478.3,1005.24,473.06
ORD013557,PRD00259,1,0.0,889.45,604.83,284.62
ORD044052,PRD00388,2,0.0,1825.44,1241.3,584.14
ORD028120,PRD00479,1,0.0,667.9,454.17,213.73
ORD035814,PRD00395,1,0.0,4821.07,3278.33,1542.74
ORD013127,PRD00128,1,0.0,3402.59,2313.76,1088.83
ORD026397,PRD00360,2,0.0,10450.66,7106.45,3344.21
ORD056140,PRD00083,5,0.05,145251.22,192894.95,-47643.73
ORD016272,PRD00211,1,0.1,18323.78,13844.64,4479.14
ORD016508,PRD00239,1,0.15,6042.07,4833.66,1208.41
ORD010154,PRD00295,1,0.0,656.94,446.72,210.22
ORD008122,PRD00319,1,0.2,81.06,68.9,12.16
ORD059016,PRD00263,2,0.05,778.64,557.34,221.3
ORD043146,PRD00125,1,0.05,4017.49,2875.68,1141.81
ORD054325,PRD00367,1,0.1,6613.6,4996.94,1616.66
ORD048903,PRD00276,1,0.15,132.18,105.75,26.43
ORD004087,PRD00076,1,0.0,21314.83,14494.08,6820.75
ORD018267,PRD00469,1,0.0,2108.14,1433.54,674.6
ORD019043,PRD00455,4,0.0,4261.84,3608.38,653.46
ORD043744,PRD00291,1,0.05,283.21,202.72,80.49
ORD019733,PRD00139,5,0.0,8566.689999999999,15936.07,-7369.38
ORD038073,PRD00425,4,0.05,4261.84,4903.67,-641.83
ORD024469,PRD00270,1,0.0,1041.3,708.08,333.22
ORD003157,PRD00126,1,0.0,1113.66,757.29,356.37
ORD031758,PRD00174,1,0.0,22318.94,15176.88,7142.06
ORD010870,PRD00456,1,0.05,2027.09,1450.97,576.12
ORD052848,PRD00484,5,0.05,4261.84,5620.91,-1359.07
ORD031639,PRD00463,1,0.0,1412.2,960.3,451.9
ORD019575,PRD00330,2,0.0,1107.76,753.28,354.48
ORD005848,PRD00435,2,0.1,1782.74,1346.96,435.78
ORD040074,PRD00092,1,0.05,2224.04,1591.94,632.1
ORD053438,PRD00155,1,0.05,4707.59,3369.64,1337.95
ORD012249,PRD00375,5,0.0,8659.0,5888.12,2770.88
ORD019967,PRD00198,1,0.0,9135.92,6212.43,2923.49
ORD025229,PRD00241,1,0.15,4518.84,3615.07,903.77
ORD011913,PRD00138,1,0.0,511.97,348.14,163.83
ORD059940,PRD00240,1,0.0,13807.69,9389.23,4418.46
ORD044969,PRD00262,1,0.0,693.52,471.59,221.93
ORD023446,PRD00025,1,0.0,33648.28,22880.83,10767.45
ORD042329,PRD00123,1,0.0,1572.18,1069.08,503.1
ORD019420,PRD00331,4,0.2,1893.83,1908.38,-14.55
ORD053097,PRD00461,2,0.2,98.58,83.79,14.79
ORD011987,PRD00425,2,0.0,3605.64,2451.84,1153.8
ORD049193,PRD00389,2,0.0,4892.08,3326.61,1565.47
ORD041152,PRD00423,1,0.0,1856.81,1262.63,594.18
ORD000485,PRD00434,1,0.1,1175.04,887.81,287.23
ORD002781,PRD00302,1,0.0,1197.28,814.15,383.13
ORD009037,PRD00375,1,0.0,1731.8,1177.62,554.18
ORD000907,PRD00393,2,0.0,2607.78,1773.29,834.49
ORD050048,PRD00150,1,0.2,1520.22,1292.19,228.03
ORD019198,PRD00281,2,0.2,1324.46,1125.79,198.67
ORD034827,PRD00054,1,0.1,26423.11,19964.13,6458.98
ORD016496,PRD00233,2,0.0,4160.98,2829.47,1331.51
ORD023382,PRD00480,1,0.1,647.69,489.37,158.32
ORD000262,PRD00492,1,0.15,373.41,298.73,74.68
ORD049626,PRD00471,1,0.0,474.87,322.91,151.96
ORD051164,PRD00263,1,0.1,368.83,278.67,90.16
ORD050467,PRD00116,1,0.1,1327.89,1003.29,324.6
ORD000213,PRD00320,1,0.0,1122.55,763.33,359.22
ORD051286,PRD00137,2,0.3,734.9,713.9,21.0
ORD054573,PRD00414,1,0.05,10551.55,7552.69,2998.86
ORD035214,PRD00472,1,0.0,786.66,534.93,251.73
ORD038581,PRD00293,2,0.15,1404.06,1123.25,280.81
ORD025544,PRD00256,1,0.15,137.12,109.7,27.42
ORD058243,PRD00295,4,0.15,1893.83,1786.88,106.95
ORD030831,PRD00417,1,0.05,2083.25,1491.17,592.08
ORD056081,PRD00439,1,0.0,686.83,467.04,219.79
ORD015775,PRD00416,1,0.0,1181.22,803.23,377.99
ORD017123,PRD00279,1,0.0,455.69,309.87,145.82
ORD004213,PRD00188,4,0.0,32807.8,22309.3,10498.5
ORD057590,PRD00041,2,0.0,7278.16,4949.15,2329.01
ORD047022,PRD00048,1,0.0,75974.85,51662.9,24311.95
ORD015915,PRD00024,2,0.1,80549.28,60859.46,19689.82
ORD025868,PRD00366,1,0.0,13434.0,9135.12,4298.88
ORD043457,PRD00053,2,0.0,83450.4,56746.27,26704.13
ORD031373,PRD00414,1,0.0,11106.9,7552.69,3554.21
ORD019394,PRD00111,1,0.0,3598.95,2447.29,1151.66
ORD014702,PRD00124,1,0.0,1478.3,1005.24,473.06
ORD034983,PRD00193,1,0.1,20293.76,15333.06,4960.7
ORD048622,PRD00464,1,0.0,64.65,43.96,20.69
ORD017597,PRD00218,2,0.0,25107.98,17073.43,8034.55
ORD005712,PRD00397,1,0.05,7496.3,5365.77,2130.53
ORD027060,PRD00417,4,0.05,4261.84,5964.66,-1702.82
ORD025991,PRD00025,1,0.15,28601.04,22880.83,5720.21
ORD023731,PRD00085,1,0.0,3363.87,2287.43,1076.44
ORD019661,PRD00357,1,0.15,9416.23,7532.99,1883.24
ORD014277,PRD00348,1,0.0,9934.68,6755.58,3179.1
ORD020703,PRD00378,1,0.15,2340.42,1872.34,468.08
ORD001593,PRD00277,1,0.3,86.1,83.64,2.46
ORD050869,PRD00097,1,0.15,3909.81,3127.85,781.96
ORD011151,PRD00464,1,0.0,64.65,43.96,20.69
ORD053457,PRD00306,1,0.15,396.96,317.57,79.39
ORD004208,PRD00066,3,0.0,145251.22,141943.38,3307.84
ORD028285,PRD00438,1,0.05,2206.77,1579.59,627.18
ORD025024,PRD00049,1,0.0,11254.51,7653.07,3601.44
ORD040695,PRD00157,1,0.0,4674.49,3178.65,1495.84
ORD032156,PRD00139,2,0.1,8436.74,6374.43,2062.31
ORD044780,PRD00041,1,0.2,2911.26,2474.57,436.69
ORD045968,PRD00403,3,0.1,23990.34,18126.03,5864.31
ORD038951,PRD00231,1,0.05,23279.55,16663.26,6616.29
ORD043644,PRD00436,1,0.05,1861.77,1332.64,529.13
ORD018079,PRD00451,1,0.0,2479.11,1685.79,793.32
ORD047624,PRD00422,1,0.0,273.76,186.16,87.6
ORD049366,PRD00364,1,0.0,14234.48,9679.45,4555.03
ORD045250,PRD00158,1,0.0,3494.95,2376.57,1118.38
ORD010539,PRD00193,1,0.0,22548.62,15333.06,7215.56
ORD056488,PRD00245,1,0.15,1456.72,1165.38,291.34
ORD039958,PRD00117,1,0.15,1693.42,1354.74,338.68
ORD044181,PRD00052,2,0.0,3165.98,2152.87,1013.11
ORD053663,PRD00382,1,0.0,3792.68,2579.02,1213.66
ORD023859,PRD00218,1,0.05,11926.29,8536.71,3389.58
ORD016197,PRD00061,5,0.0,145251.22,184569.51,-39318.29
ORD001609,PRD00220,1,0.15,20574.86,16459.89,4114.97
ORD033795,PRD00329,2,0.0,1893.83,1501.14,392.69
ORD014165,PRD00051,1,0.0,1042.71,709.04,333.67
ORD048462,PRD00479,2,0.0,1335.8,908.34,427.46
ORD002211,PRD00231,1,0.0,24504.79,16663.26,7841.53
ORD019303,PRD00147,1,0.0,772.76,525.48,247.28
ORD057965,PRD00111,1,0.1,3239.06,2447.29,791.77
ORD055195,PRD00168,1,0.0,23286.97,15835.14,7451.83
ORD004679,PRD00021,1,0.1,74200.57,56062.65,18137.92
ORD011598,PRD00138,1,0.1,460.77,348.14,112.63
ORD001335,PRD00464,3,0.05,184.25,131.89,52.36
ORD013743,PRD00226,1,0.0,2455.94,1670.04,785.9
ORD027144,PRD00246,2,0.05,4360.71,3121.35,1239.36
ORD007279,PRD00456,1,0.05,2027.09,1450.97,576.12
ORD054009,PRD00452,1,0.1,1104.23,834.31,269.92
ORD002970,PRD00001,1,0.1,29214.67,22073.3,7141.37
ORD059011,PRD00327,1,0.3,356.38,346.2,10.18
ORD003132,PRD00445,1,0.05,149.88,107.28,42.6
ORD044022,PRD00020,1,0.15,15696.36,12557.09,3139.27
ORD059229,PRD00015,1,0.0,68905.19,46855.53,22049.66
ORD059883,PRD00176,1,0.3,15123.99,14691.88,432.11
ORD032250,PRD00420,1,0.3,98.8,95.98,2.82
ORD008995,PRD00485,1,0.1,2168.9,1638.73,530.17
ORD037040,PRD00290,1,0.1,191.8,144.91,46.89
ORD045661,PRD00348,1,0.0,9934.68,6755.58,3179.1
ORD046466,PRD00420,1,0.1,127.04,95.98,31.06
ORD000254,PRD00045,1,0.0,25338.41,17230.12,8108.29
ORD044336,PRD00245,1,0.0,1713.79,1165.38,548.41
ORD022342,PRD00053,2,0.0,83450.4,56746.27,26704.13
ORD033563,PRD00082,2,0.1,89599.07,67697.07,21902.0
ORD006872,PRD00328,1,0.0,428.69,291.51,137.18
ORD019861,PRD00276,3,0.3,326.57,317.24,9.33
ORD031742,PRD00225,1,0.0,14829.55,10084.09,4745.46
ORD055933,PRD00135,1,0.05,3693.2,2643.55,1049.65
ORD013040,PRD00165,1,0.0,2407.14,1636.86,770.28
ORD036715,PRD00364,2,0.0,26978.425000000003,19358.89,7619.54
ORD030243,PRD00223,2,0.0,35321.76,24018.8,11302.96
ORD037669,PRD00157,3,0.0,8566.689999999999,9535.96,-969.27
ORD001296,PRD00297,1,0.0,661.39,449.75,211.64
ORD044776,PRD00093,1,0.05,2860.48,2047.5,812.98
ORD055213,PRD00174,1,0.0,22318.94,15176.88,7142.06
ORD057027,PRD00174,3,0.0,43446.810000000005,45530.64,-2083.83
